"transaction_id","account_id","transaction_date","posted_date","description","amount","currency","source_file","client_reported_category"
"T00001","A004","5/1/2025","2025-05-02","CVS","-42.98","USD","A004_05_export.csv",""
"T00002","A002","2025-12-31 00:00:00","2026-01-01","NV Energy","-194.34","USD","A002_12_export.csv",""
"T00003","A002","7/3/2025","2025-07-04","NETFLIX.COM","-12.68","USD","A002_07_export.csv",""
"T00004","A002","2025-09-03 00:00:00","2025-09-04","TRADER JOES 124","-63.61","USD","A002_09_export.csv",""
"T00005","A001","2025-12-18","2025-12-19","LVAC","-41.77","USD","A001_12_export.csv",""
"T00006","A004","8/19/2025","2025-08-20","Cox Communications","-56.19","USD","A004_08_export.csv",""
"T00007","A004","2/26/2025","2025-02-27","Netflix","-17.29","USD","A004_02_export.csv",""
"T00008","A002","2025-09-25","2025-09-27","DD *DOORDASH","-14.72","USD","A002_09_export.csv",""
"T00009","A003","2025-02-22","2025-02-23","UBER *EATS","-25.19","USD","A003_02_export.csv",""
"T00010","A005","2025-07-17","2025-07-18","NETFLIX.COM","-71.02","USD","A005_07_export.csv",""
"T00011","A003","2025-04-10","2025-04-11","TRADER JOES 124","-27.09","USD","A003_04_export.csv",""
"T00012","A002","2025-11-09","2025-11-11","CVS/PHARMACY #8829","-95.2","USD","A002_11_export.csv",""
"T00013","A005","2025-11-20 00:00:00","2025-11-22","Trader Joe's","-166.86","USD","A005_11_export.csv",""
"T00014","A003","2025-07-01 00:00:00","2025-07-02","CVS","-26.98","USD","A003_07_export.csv",""
"T00015","A001","2025-03-09 00:00:00","2025-03-10","Airbnb","-396.54","USD","A001_03_export.csv",""
"T00016","A001","9/5/2025","2025-09-07","Amazon","-91.5","USD","A001_09_export.csv",""
"T00017","A005","10/6/2025","2025-10-07","SMITHS #348","-52.21","USD","A005_10_export.csv",""
"T00018","A003","2025-11-21","2025-11-22","Uber Eats","-85.75","USD","A003_11_export.csv",""
"T00019","A002","2025-07-01 00:00:00","2025-07-02","SW GAS CORP","-134.18","USD","A002_07_export.csv",""
"T00020","A001","2025-05-04","2025-05-06","Trader Joe's","-78.46","USD","A001_05_export.csv",""
"T00021","A005","2025-09-19","2025-09-20","MARRIOTT HOTEL","-431.53","USD","A005_09_export.csv",""
"T00022","A003","2025-10-22","2025-10-23","CHIPOTLE 2841","-31.66","USD","A003_10_export.csv",""
"T00023","A002","2025-08-05 00:00:00","2025-08-06","SMITHS GROCERY 0348","-144.99","USD","A002_08_export.csv",""
"T00024","A003","2025-11-30 00:00:00","2025-12-01","UBER *EATS","-92.99","USD","A003_11_export.csv",""
"T00025","A001","2025-06-03 00:00:00","2025-06-04","DOORDASH*TEMP AUTH","-58.49","USD","A001_06_export.csv",""
"T00026","A004","2025-01-31 00:00:00","2025-02-01","SW GAS CORP","-49.56","USD","A004_01_export.csv",""
"T00027","A004","6/8/2025","2025-06-09","Netflix","-66.61","USD","A004_06_export.csv",""
"T00028","A005","2025-09-08 00:00:00","2025-09-09","NV Energy","-203.05","USD","A005_09_export.csv",""
"T00029","A002","5/12/2025","2025-05-13","LAS VEGAS ATHLETIC CLUB","-57.42","USD","A002_05_export.csv",""
"T00030","A004","6/19/2025","2025-06-20","CHEVRON 0209341","-15.24","USD","A004_06_export.csv","Shopping"
"T00031","A003","2025-07-15","2025-07-16","Costco","-50.49","USD","A003_07_export.csv",""
"T00032","A003","2025-11-02 00:00:00","2025-11-04","NVENERGY PAYMENT","-125.21","USD","A003_11_export.csv",""
"T00033","A005","4/3/2025","2025-04-04","LAS VEGAS ATHLETIC CLUB","-14.23","USD","A005_04_export.csv","Food"
"T00034","A002","12/1/2025","2025-12-03","SOUTHWEST AIR","-631.41","USD","A002_12_export.csv",""
"T00035","A001","2025-07-28","2025-07-29","NV Energy","-91.19","USD","A001_07_export.csv",""
"T00036","A001","2025-10-11","2025-10-12","NETFLIX.COM","-33.03","USD","A001_10_export.csv",""
"T00037","A002","2025-12-13 00:00:00","2025-12-14","Uber","-22.71","USD","A002_12_export.csv",""
"T00038","A001","9/15/2025","2025-09-16","TRADER JOES 124","-99.79","USD","A001_09_export.csv",""
"T00039","A001","2025-03-24","2025-03-26","AMAZON.COM*","-91.63","USD","A001_03_export.csv",""
"T00040","A002","2/14/2025","2025-02-16","Cox Communications","-92.76","USD","A002_02_export.csv",""
"T00041","A002","8/25/2025","2025-08-26","Southwest Gas","-152.46","USD","A002_08_export.csv",""
"T00042","A005","2025-06-19","2025-06-20","SPOTIFY USA","-13.57","USD","A005_06_export.csv",""
